# Title: 
# X-axis: Xsec.GetBin + material offset
# Y-axis: d#sigma/d#delta#alpha_{T} (cm^{2}/Degree/nucleon)
# X	Content	Error
0.5	6.042798e-42	5.219926e-43
1.5	6.788523e-42	6.109765e-43
2.5	9.473205e-42	1.012827e-42
3.5	1.491371e-41	2.042347e-42
4.5	1.941045e-41	3.481965e-42
5.5	0.000000e+00	0.000000e+00
6.5	0.000000e+00	0.000000e+00
7.5	6.025955e-42	5.181812e-43
8.5	6.941167e-42	6.221514e-43
9.5	9.648178e-42	1.009301e-42
10.5	1.508110e-41	2.055885e-42
11.5	1.957153e-41	3.460612e-42
12.5	0.000000e+00	0.000000e+00
13.5	0.000000e+00	0.000000e+00
14.5	6.105959e-42	5.312175e-43
15.5	6.806159e-42	6.159865e-43
16.5	9.476519e-42	1.026643e-42
17.5	1.510645e-41	2.074496e-42
18.5	1.964453e-41	3.538334e-42
19.5	0.000000e+00	0.000000e+00
20.5	0.000000e+00	0.000000e+00
21.5	6.059999e-42	5.406426e-43
22.5	6.582204e-42	6.078304e-43
23.5	9.180947e-42	1.029370e-42
24.5	1.477447e-41	2.054876e-42
25.5	1.926844e-41	3.537060e-42
26.5	0.000000e+00	0.000000e+00
27.5	0.000000e+00	0.000000e+00
28.5	6.031394e-42	5.226165e-43
29.5	6.775470e-42	6.104122e-43
30.5	9.430262e-42	1.012966e-42
31.5	1.494518e-41	2.049739e-42
32.5	1.943307e-41	3.489807e-42
33.5	0.000000e+00	0.000000e+00
34.5	0.000000e+00	0.000000e+00
35.5	5.768133e-42	1.285013e-42
36.5	7.913589e-42	1.519044e-42
37.5	1.188617e-41	2.392197e-42
38.5	1.689737e-41	3.810094e-42
39.5	1.348398e-41	5.554495e-42
40.5	0.000000e+00	0.000000e+00
41.5	0.000000e+00	0.000000e+00
42.5	4.513668e-42	1.649522e-42
43.5	6.038767e-42	2.032308e-42
44.5	9.250279e-42	2.780803e-42
45.5	1.623505e-41	4.628070e-42
46.5	2.309221e-41	8.195178e-42
47.5	0.000000e+00	0.000000e+00
48.5	0.000000e+00	0.000000e+00
49.5	5.579484e-42	7.937891e-43
50.5	7.349942e-42	9.843566e-43
51.5	9.956098e-42	1.348985e-42
52.5	1.867242e-41	2.731785e-42
53.5	2.996549e-41	5.373516e-42
54.5	0.000000e+00	0.000000e+00
55.5	0.000000e+00	0.000000e+00
56.5	3.763473e-42	7.185131e-43
57.5	4.554122e-42	6.447548e-43
58.5	8.417174e-42	1.188714e-42
59.5	2.049531e-41	2.883713e-42
60.5	4.094204e-41	5.687497e-42
61.5	0.000000e+00	0.000000e+00
62.5	0.000000e+00	0.000000e+00
