# Title: 
# X-axis: Xsec.GetBin + material offset
# Y-axis: d#sigma/d#delta P_{T} (cm^{2}/GeV/nucleon)
# X	Content	Error
0.5	4.391828e-39	3.799857e-40
1.5	2.324141e-39	3.129140e-40
2.5	1.217280e-39	2.540896e-40
3.5	6.351112e-40	1.138501e-40
4.5	1.008332e-40	2.635798e-41
5.5	1.838088e-42	1.287389e-42
6.5	5.250181e-45	5.644742e-45
7.5	0.000000e+00	0.000000e+00
8.5	4.444685e-39	3.791355e-40
9.5	2.356168e-39	3.151456e-40
10.5	1.241139e-39	2.553896e-40
11.5	6.272747e-40	1.133245e-40
12.5	1.043693e-40	2.646224e-41
13.5	2.194996e-42	1.498132e-42
14.5	7.745725e-45	1.099431e-44
15.5	0.000000e+00	0.000000e+00
16.5	4.429157e-39	3.869671e-40
17.5	2.337978e-39	3.161241e-40
18.5	1.227426e-39	2.562143e-40
19.5	6.479258e-40	1.158595e-40
20.5	1.002821e-40	2.657398e-41
21.5	1.997558e-42	1.416373e-42
22.5	4.715598e-45	5.618255e-45
23.5	0.000000e+00	0.000000e+00
24.5	4.325708e-39	3.868924e-40
25.5	2.280495e-39	3.122185e-40
26.5	1.189672e-39	2.527789e-40
27.5	6.495847e-40	1.158937e-40
28.5	9.550705e-41	2.662783e-41
29.5	1.850352e-42	1.745223e-42
30.5	2.642582e-45	3.895123e-45
31.5	0.000000e+00	0.000000e+00
32.5	4.390878e-39	3.815062e-40
33.5	2.320591e-39	3.130894e-40
34.5	1.218040e-39	2.535591e-40
35.5	6.370270e-40	1.141460e-40
36.5	9.994658e-41	2.627645e-41
37.5	2.016766e-42	1.374531e-42
38.5	5.289653e-45	6.527889e-45
39.5	0.000000e+00	0.000000e+00
40.5	4.283598e-39	7.395151e-40
41.5	2.676326e-39	5.095594e-40
42.5	1.569476e-39	4.352548e-40
43.5	5.150999e-40	2.416641e-40
44.5	4.503582e-41	9.082087e-41
45.5	2.384699e-42	1.245046e-41
46.5	0.000000e+00	0.000000e+00
47.5	0.000000e+00	0.000000e+00
48.5	4.881684e-39	9.688612e-40
49.5	2.315905e-39	6.231244e-40
50.5	9.708167e-40	4.090691e-40
51.5	5.369134e-40	2.543847e-40
52.5	6.138996e-41	9.494109e-41
53.5	3.220554e-42	5.451698e-41
54.5	0.000000e+00	0.000000e+00
55.5	0.000000e+00	0.000000e+00
56.5	3.744875e-39	4.392907e-40
57.5	3.096480e-39	4.016476e-40
58.5	1.640210e-39	3.328964e-40
59.5	1.330041e-39	2.758513e-40
60.5	3.060345e-40	1.063784e-40
61.5	1.096267e-41	1.155295e-41
62.5	0.000000e+00	0.000000e+00
63.5	0.000000e+00	0.000000e+00
64.5	2.697146e-39	3.667297e-40
65.5	2.886695e-39	3.832529e-40
66.5	1.792900e-39	2.613224e-40
67.5	1.465379e-39	2.248227e-40
68.5	5.598689e-40	1.303572e-40
69.5	9.649380e-42	1.809217e-41
70.5	0.000000e+00	0.000000e+00
71.5	0.000000e+00	0.000000e+00
