# Title: 
# X-axis: Xsec.GetBin + material offset
# Y-axis: d#sigma/d#delta P_{T} (cm^{2}/GeV/nucleon)
# X	Content	Error
0.5	2.882012e-39	2.364858e-40
1.5	5.878643e-39	5.430092e-40
2.5	2.759445e-39	3.405900e-40
3.5	1.859602e-39	2.865685e-40
4.5	1.337001e-39	2.850406e-40
5.5	1.118941e-39	2.183441e-40
6.5	7.869859e-40	1.428552e-40
7.5	2.484262e-40	4.880250e-41
8.5	4.274298e-42	2.134612e-42
9.5	2.725806e-45	3.222925e-45
10.5	0.000000e+00	0.000000e+00
11.5	2.917063e-39	2.363563e-40
12.5	5.942908e-39	5.419756e-40
13.5	2.789006e-39	3.414637e-40
14.5	1.891581e-39	2.906316e-40
15.5	1.364178e-39	2.878917e-40
16.5	1.140176e-39	2.182544e-40
17.5	7.731420e-40	1.432642e-40
18.5	2.518083e-40	4.804255e-41
19.5	4.799226e-42	2.262267e-42
20.5	1.687558e-45	2.386715e-45
21.5	0.000000e+00	0.000000e+00
22.5	2.907333e-39	2.409942e-40
23.5	5.926825e-39	5.531954e-40
24.5	2.773245e-39	3.451124e-40
25.5	1.875442e-39	2.884287e-40
26.5	1.349373e-39	2.868795e-40
27.5	1.126351e-39	2.207722e-40
28.5	8.037074e-40	1.447925e-40
29.5	2.504450e-40	4.978542e-41
30.5	4.367133e-42	2.156238e-42
31.5	1.341455e-45	1.591952e-45
32.5	0.000000e+00	0.000000e+00
33.5	2.841304e-39	2.423246e-40
34.5	5.792773e-39	5.530663e-40
35.5	2.712068e-39	3.432952e-40
36.5	1.824272e-39	2.830406e-40
37.5	1.307025e-39	2.817394e-40
38.5	1.091715e-39	2.196079e-40
39.5	8.096905e-40	1.437719e-40
40.5	2.444289e-40	5.058488e-41
41.5	4.000390e-42	2.281739e-42
42.5	1.107329e-45	1.745235e-45
43.5	0.000000e+00	0.000000e+00
44.5	2.882987e-39	2.375232e-40
45.5	5.873866e-39	5.453633e-40
46.5	2.751614e-39	3.412734e-40
47.5	1.861535e-39	2.861268e-40
48.5	1.339272e-39	2.842878e-40
49.5	1.117909e-39	2.180485e-40
50.5	7.893326e-40	1.429114e-40
51.5	2.479127e-40	4.894180e-41
52.5	4.419430e-42	2.136560e-42
53.5	1.405003e-45	1.665563e-45
54.5	0.000000e+00	0.000000e+00
55.5	2.701126e-39	5.122192e-40
56.5	5.884394e-39	1.046232e-39
57.5	3.016571e-39	6.057860e-40
58.5	2.201434e-39	4.921180e-40
59.5	1.767812e-39	4.960644e-40
60.5	1.471983e-39	4.229928e-40
61.5	7.883229e-40	3.397006e-40
62.5	9.387677e-41	1.078570e-40
63.5	1.142290e-41	2.107781e-41
64.5	0.000000e+00	0.000000e+00
65.5	0.000000e+00	0.000000e+00
66.5	2.935547e-39	6.990721e-40
67.5	6.334180e-39	1.396206e-39
68.5	2.798151e-39	7.696108e-40
69.5	1.825595e-39	5.782546e-40
70.5	1.116501e-39	4.477232e-40
71.5	9.236995e-40	4.647762e-40
72.5	4.704679e-40	3.221256e-40
73.5	3.316091e-40	1.481258e-40
74.5	3.524078e-42	2.574272e-41
75.5	0.000000e+00	0.000000e+00
76.5	0.000000e+00	0.000000e+00
77.5	2.144582e-39	2.899599e-40
78.5	5.145684e-39	6.142842e-40
79.5	3.859836e-39	4.854868e-40
80.5	2.413743e-39	3.521808e-40
81.5	1.813378e-39	3.506447e-40
82.5	1.565760e-39	3.410424e-40
83.5	1.530409e-39	3.379125e-40
84.5	6.364824e-40	1.506109e-40
85.5	2.276951e-41	1.916713e-41
86.5	0.000000e+00	0.000000e+00
87.5	0.000000e+00	0.000000e+00
88.5	1.588589e-39	2.674341e-40
89.5	3.657514e-39	4.834776e-40
90.5	3.390578e-39	4.480038e-40
91.5	2.374185e-39	3.549561e-40
92.5	1.853187e-39	2.733583e-40
93.5	1.892190e-39	2.997949e-40
94.5	1.721782e-39	2.806522e-40
95.5	8.064990e-40	1.474867e-40
96.5	6.145512e-41	3.208280e-41
97.5	0.000000e+00	0.000000e+00
98.5	0.000000e+00	0.000000e+00
