# Title: 
# X-axis: Xsec.GetBin + material offset
# Y-axis: d#sigma/d#delta P_{Tx} (cm^{2}/GeV/nucleon)
# X	Content	Error
0.5	3.913727e-42	1.088268e-42
1.5	2.815742e-40	4.857933e-41
2.5	1.129544e-39	1.546457e-40
3.5	3.368938e-39	3.653879e-40
4.5	3.288934e-39	3.679141e-40
5.5	1.082806e-39	1.531446e-40
6.5	2.803191e-40	4.571693e-41
7.5	3.829495e-42	1.044164e-42
8.5	0.000000e+00	0.000000e+00
9.5	0.000000e+00	0.000000e+00
10.5	4.097922e-42	1.129036e-42
11.5	2.874225e-40	4.949364e-41
12.5	1.149757e-39	1.567181e-40
13.5	3.417877e-39	3.643924e-40
14.5	3.302404e-39	3.640058e-40
15.5	1.099665e-39	1.537784e-40
16.5	2.803551e-40	4.566043e-41
17.5	4.030207e-42	1.095977e-42
18.5	0.000000e+00	0.000000e+00
19.5	0.000000e+00	0.000000e+00
20.5	3.927257e-42	1.092067e-42
21.5	2.841783e-40	4.864546e-41
22.5	1.140219e-39	1.562846e-40
23.5	3.391653e-39	3.709956e-40
24.5	3.328542e-39	3.757943e-40
25.5	1.087767e-39	1.552724e-40
26.5	2.842582e-40	4.639544e-41
27.5	4.026482e-42	1.062737e-42
28.5	0.000000e+00	0.000000e+00
29.5	0.000000e+00	0.000000e+00
30.5	3.695384e-42	1.104864e-42
31.5	2.760019e-40	4.803704e-41
32.5	1.109466e-39	1.538451e-40
33.5	3.305101e-39	3.705773e-40
34.5	3.277713e-39	3.784857e-40
35.5	1.058259e-39	1.542989e-40
36.5	2.811253e-40	4.683635e-41
37.5	3.913718e-42	1.113934e-42
38.5	0.000000e+00	0.000000e+00
39.5	0.000000e+00	0.000000e+00
40.5	3.896646e-42	1.077389e-42
41.5	2.822947e-40	4.825600e-41
42.5	1.132458e-39	1.547663e-40
43.5	3.364090e-39	3.660551e-40
44.5	3.291011e-39	3.698239e-40
45.5	1.080244e-39	1.534602e-40
46.5	2.801704e-40	4.571262e-41
47.5	3.987326e-42	1.046428e-42
48.5	0.000000e+00	0.000000e+00
49.5	0.000000e+00	0.000000e+00
50.5	5.562309e-42	7.532218e-42
51.5	5.636560e-40	1.504371e-40
52.5	1.337196e-39	3.207614e-40
53.5	3.472399e-39	6.193806e-40
54.5	3.176537e-39	6.462552e-40
55.5	1.226144e-39	3.349078e-40
56.5	2.666758e-40	1.349518e-40
57.5	4.580805e-42	4.648327e-42
58.5	0.000000e+00	0.000000e+00
59.5	0.000000e+00	0.000000e+00
60.5	6.596218e-42	6.020805e-42
61.5	4.939405e-40	1.627854e-40
62.5	1.149460e-39	3.361727e-40
63.5	3.500172e-39	9.989186e-40
64.5	3.941422e-39	9.338937e-40
65.5	1.294215e-39	4.443385e-40
66.5	2.287102e-40	1.255336e-40
67.5	1.664861e-41	1.364721e-41
68.5	0.000000e+00	0.000000e+00
69.5	0.000000e+00	0.000000e+00
70.5	8.239615e-42	3.461181e-42
71.5	5.888500e-40	1.289318e-40
72.5	1.731618e-39	3.124589e-40
73.5	3.226641e-39	4.373112e-40
74.5	3.920994e-39	4.613865e-40
75.5	1.648911e-39	2.822283e-40
76.5	4.236900e-40	1.237545e-40
77.5	4.939484e-42	3.399328e-42
78.5	0.000000e+00	0.000000e+00
79.5	0.000000e+00	0.000000e+00
80.5	1.353902e-41	8.237610e-42
81.5	5.806933e-40	1.183020e-40
82.5	1.741298e-39	2.601136e-40
83.5	3.083477e-39	3.789014e-40
84.5	3.185436e-39	4.163553e-40
85.5	1.672199e-39	3.004139e-40
86.5	5.475144e-40	1.141699e-40
87.5	8.255455e-42	3.780144e-42
88.5	0.000000e+00	0.000000e+00
89.5	0.000000e+00	0.000000e+00
