# Title: 
# X-axis: Xsec.GetBin + material offset
# Y-axis: d#sigma/d#delta P_{Ty} (cm^{2}/GeV/nucleon)
# X	Content	Error
0.5	0.000000e+00	0.000000e+00
1.5	3.154893e-43	8.514849e-43
2.5	3.779307e-41	1.473022e-41
3.5	2.899175e-40	6.718721e-41
4.5	5.536180e-40	1.125503e-40
5.5	8.505991e-40	1.953384e-40
6.5	1.264658e-39	2.660418e-40
7.5	3.170648e-39	3.374910e-40
8.5	2.690802e-39	2.318437e-40
9.5	2.922098e-40	3.140939e-41
10.5	6.832134e-42	1.076649e-42
11.5	0.000000e+00	0.000000e+00
12.5	0.000000e+00	0.000000e+00
13.5	0.000000e+00	0.000000e+00
14.5	0.000000e+00	0.000000e+00
15.5	5.444957e-43	1.117678e-42
16.5	4.119655e-41	1.469483e-41
17.5	2.975217e-40	6.605439e-41
18.5	5.410329e-40	1.126726e-40
19.5	8.481132e-40	1.958502e-40
20.5	1.276981e-39	2.694101e-40
21.5	3.238528e-39	3.364541e-40
22.5	2.716400e-39	2.332067e-40
23.5	2.923547e-40	3.195800e-41
24.5	6.750273e-42	1.150504e-42
25.5	0.000000e+00	0.000000e+00
26.5	0.000000e+00	0.000000e+00
27.5	0.000000e+00	0.000000e+00
28.5	0.000000e+00	0.000000e+00
29.5	4.606823e-43	1.109562e-42
30.5	3.713864e-41	1.452644e-41
31.5	2.908806e-40	6.890520e-41
32.5	5.651147e-40	1.145184e-40
33.5	8.683461e-40	1.972785e-40
34.5	1.281960e-39	2.684691e-40
35.5	3.182095e-39	3.441860e-40
36.5	2.708881e-39	2.345264e-40
37.5	2.914660e-40	3.153734e-41
38.5	7.157367e-42	1.098798e-42
39.5	0.000000e+00	0.000000e+00
40.5	0.000000e+00	0.000000e+00
41.5	0.000000e+00	0.000000e+00
42.5	0.000000e+00	0.000000e+00
43.5	3.989641e-43	1.593145e-42
44.5	3.362021e-41	1.470380e-41
45.5	2.793660e-40	7.075326e-41
46.5	5.746259e-40	1.150709e-40
47.5	8.610799e-40	1.955909e-40
48.5	1.256261e-39	2.638474e-40
49.5	3.072094e-39	3.447210e-40
50.5	2.655559e-39	2.335096e-40
51.5	2.864992e-40	3.204571e-41
52.5	7.390353e-42	1.177323e-42
53.5	0.000000e+00	0.000000e+00
54.5	0.000000e+00	0.000000e+00
55.5	0.000000e+00	0.000000e+00
56.5	0.000000e+00	0.000000e+00
57.5	4.752291e-43	1.054798e-42
58.5	3.743692e-41	1.437190e-41
59.5	2.885269e-40	6.761896e-41
60.5	5.551712e-40	1.128084e-40
61.5	8.553260e-40	1.950062e-40
62.5	1.269106e-39	2.661831e-40
63.5	3.163013e-39	3.391402e-40
64.5	2.686866e-39	2.318845e-40
65.5	2.884018e-40	3.114119e-41
66.5	7.007891e-42	1.079824e-42
67.5	0.000000e+00	0.000000e+00
68.5	0.000000e+00	0.000000e+00
69.5	0.000000e+00	0.000000e+00
70.5	0.000000e+00	0.000000e+00
71.5	0.000000e+00	0.000000e+00
72.5	4.671886e-41	8.903830e-41
73.5	5.831827e-42	1.029550e-40
74.5	3.694000e-40	3.136571e-40
75.5	7.389044e-40	3.703945e-40
76.5	1.512119e-39	4.620117e-40
77.5	3.600466e-39	6.747579e-40
78.5	2.782793e-39	5.405900e-40
79.5	4.103649e-40	1.213530e-40
80.5	6.893537e-42	4.297122e-42
81.5	0.000000e+00	0.000000e+00
82.5	0.000000e+00	0.000000e+00
83.5	0.000000e+00	0.000000e+00
84.5	0.000000e+00	0.000000e+00
85.5	6.366825e-43	1.072102e-41
86.5	1.511661e-40	1.083681e-40
87.5	6.330937e-40	3.374118e-40
88.5	6.646286e-40	4.149990e-40
89.5	1.056251e-39	4.715013e-40
90.5	1.391542e-39	5.415535e-40
91.5	3.603426e-39	8.429877e-40
92.5	2.699088e-39	7.238867e-40
93.5	1.627090e-40	1.049552e-40
94.5	1.908405e-41	1.159671e-41
95.5	0.000000e+00	0.000000e+00
96.5	0.000000e+00	0.000000e+00
97.5	0.000000e+00	0.000000e+00
98.5	0.000000e+00	0.000000e+00
99.5	3.392536e-42	7.083578e-42
100	1.792287e-40	8.696698e-41
102	7.865448e-40	2.696413e-40
102	1.056295e-39	3.782328e-40
104	1.259808e-39	4.003050e-40
104	1.907851e-39	3.371422e-40
106	3.097408e-39	3.611095e-40
106	2.669531e-39	3.317418e-40
108	3.458200e-40	6.557906e-41
108	9.006242e-42	4.710602e-42
110	0.000000e+00	0.000000e+00
110	0.000000e+00	0.000000e+00
112	0.000000e+00	0.000000e+00
112	0.000000e+00	0.000000e+00
114	3.064012e-42	4.224827e-42
114	4.528431e-40	1.241276e-40
116	8.594248e-40	2.467969e-40
116	1.304557e-39	3.036407e-40
118	1.456893e-39	3.110661e-40
118	2.176930e-39	3.625913e-40
120	2.718172e-39	3.487917e-40
120	1.753512e-39	2.655052e-40
122	2.723355e-40	5.325279e-41
122	1.240773e-41	5.717089e-42
124	0.000000e+00	0.000000e+00
124	0.000000e+00	0.000000e+00
126	0.000000e+00	0.000000e+00
