# Title: 
# X-axis: Xsec.GetBin + material offset
# Y-axis: d#sigma/dP_{#mu} (cm^{2}/GeV/nucleon)
# X	Content	Error
0.5	1.701958e-40	2.375904e-41
1.5	3.292512e-40	4.356772e-41
2.5	4.212712e-40	5.362138e-41
3.5	4.130248e-40	4.948454e-41
4.5	2.628075e-40	3.013189e-41
5.5	7.214296e-41	8.512377e-42
6.5	1.253306e-41	1.440971e-42
7.5	4.049816e-42	4.827767e-43
8.5	0.000000e+00	0.000000e+00
9.5	0.000000e+00	0.000000e+00
10.5	1.693259e-40	2.356370e-41
11.5	3.328241e-40	4.253478e-41
12.5	4.225233e-40	5.235210e-41
13.5	4.198531e-40	4.969754e-41
14.5	2.689736e-40	3.096532e-41
15.5	7.433313e-41	8.779208e-42
16.5	1.296691e-41	1.466561e-42
17.5	4.027197e-42	4.913449e-43
18.5	0.000000e+00	0.000000e+00
19.5	0.000000e+00	0.000000e+00
20.5	1.710553e-40	2.407596e-41
21.5	3.280488e-40	4.446027e-41
22.5	4.229399e-40	5.463186e-41
23.5	4.180440e-40	5.023347e-41
24.5	2.673541e-40	3.044733e-41
25.5	7.252946e-41	8.583371e-42
26.5	1.238978e-41	1.452380e-42
27.5	4.060529e-42	4.923928e-43
28.5	0.000000e+00	0.000000e+00
29.5	0.000000e+00	0.000000e+00
30.5	1.696791e-40	2.439015e-41
31.5	3.199622e-40	4.541497e-41
32.5	4.153140e-40	5.559738e-41
33.5	4.069006e-40	4.982962e-41
34.5	2.593956e-40	2.956197e-41
35.5	6.968385e-41	8.341355e-42
36.5	1.183946e-41	1.467274e-42
37.5	4.051577e-42	5.194708e-43
38.5	0.000000e+00	0.000000e+00
39.5	0.000000e+00	0.000000e+00
40.5	1.691471e-40	2.372546e-41
41.5	3.260926e-40	4.364430e-41
42.5	4.186080e-40	5.364782e-41
43.5	4.143479e-40	4.961242e-41
44.5	2.649596e-40	3.024905e-41
45.5	7.221235e-41	8.535701e-42
46.5	1.241362e-41	1.436773e-42
47.5	4.027305e-42	4.833891e-43
48.5	0.000000e+00	0.000000e+00
49.5	0.000000e+00	0.000000e+00
50.5	5.237426e-41	5.571338e-41
51.5	4.074216e-40	1.073418e-40
52.5	5.259838e-40	1.112984e-40
53.5	4.782248e-40	9.949357e-41
54.5	2.224466e-40	5.151450e-41
55.5	7.711831e-41	1.710523e-41
56.5	1.502754e-41	5.422183e-42
57.5	4.559791e-42	2.436370e-42
58.5	0.000000e+00	0.000000e+00
59.5	0.000000e+00	0.000000e+00
60.5	2.004687e-40	1.387974e-40
61.5	3.121694e-40	1.345291e-40
62.5	3.733183e-40	1.264087e-40
63.5	3.714974e-40	1.206038e-40
64.5	3.137784e-40	8.034243e-41
65.5	9.921576e-41	2.402198e-41
66.5	1.299384e-41	6.002423e-42
67.5	7.640434e-42	4.204984e-42
68.5	0.000000e+00	0.000000e+00
69.5	0.000000e+00	0.000000e+00
70.5	2.082266e-40	6.218317e-41
71.5	4.701021e-40	8.457956e-41
72.5	5.667333e-40	8.229690e-41
73.5	4.978231e-40	6.590495e-41
74.5	2.981565e-40	3.775464e-41
75.5	8.021670e-41	1.349376e-41
76.5	1.262667e-41	3.123407e-42
77.5	6.371201e-42	1.924575e-42
78.5	0.000000e+00	0.000000e+00
79.5	0.000000e+00	0.000000e+00
80.5	1.675821e-40	5.123983e-41
81.5	4.345835e-40	7.614317e-41
82.5	4.657878e-40	7.458524e-41
83.5	4.671695e-40	6.296331e-41
84.5	2.987744e-40	3.773500e-41
85.5	8.405258e-41	1.211521e-41
86.5	2.256895e-41	4.514355e-42
87.5	5.945646e-42	2.024823e-42
88.5	0.000000e+00	0.000000e+00
89.5	0.000000e+00	0.000000e+00
