# Title: 
# X-axis: Xsec.GetBin + material offset
# Y-axis: d#sigma/dp_{T} (cm^{2}/GeV/nucleon)
# X	Content	Error
0.5	7.034362e-41	1.133540e-41
1.5	3.617909e-40	3.985426e-41
2.5	8.007214e-40	8.472585e-41
3.5	1.640869e-39	1.875801e-40
4.5	3.199235e-39	3.285150e-40
5.5	3.727600e-39	4.208913e-40
6.5	2.425956e-39	3.726569e-40
7.5	5.940524e-40	1.620418e-40
8.5	1.545784e-41	6.091212e-42
9.5	5.858317e-45	8.154093e-43
10.5	0.000000e+00	0.000000e+00
11.5	0.000000e+00	0.000000e+00
12.5	7.161990e-41	1.215238e-41
13.5	3.776998e-40	4.142231e-41
14.5	7.989595e-40	8.535206e-41
15.5	1.655673e-39	1.893167e-40
16.5	3.199789e-39	3.251725e-40
17.5	3.774984e-39	4.200501e-40
18.5	2.479434e-39	3.723311e-40
19.5	5.869350e-40	1.608394e-40
20.5	1.585528e-41	6.059625e-42
21.5	1.857987e-45	3.483676e-44
22.5	0.000000e+00	0.000000e+00
23.5	0.000000e+00	0.000000e+00
24.5	7.141684e-41	1.150612e-41
25.5	3.610988e-40	4.005982e-41
26.5	8.105906e-40	8.593343e-41
27.5	1.657789e-39	1.899494e-40
28.5	3.234535e-39	3.349249e-40
29.5	3.766171e-39	4.287179e-40
30.5	2.441120e-39	3.824117e-40
31.5	6.021218e-40	1.640446e-40
32.5	1.584360e-41	6.075001e-42
33.5	3.136092e-45	5.656083e-44
34.5	0.000000e+00	0.000000e+00
35.5	0.000000e+00	0.000000e+00
36.5	6.967701e-41	1.205621e-41
37.5	3.423713e-40	4.014650e-41
38.5	8.036446e-40	8.699252e-41
39.5	1.627410e-39	1.884900e-40
40.5	3.201621e-39	3.382163e-40
41.5	3.674915e-39	4.290057e-40
42.5	2.353778e-39	3.848544e-40
43.5	6.035984e-40	1.647317e-40
44.5	1.558721e-41	6.352414e-42
45.5	3.690887e-45	7.122049e-44
46.5	0.000000e+00	0.000000e+00
47.5	0.000000e+00	0.000000e+00
48.5	7.069592e-41	1.138415e-41
49.5	3.615050e-40	3.974207e-41
50.5	8.002708e-40	8.470509e-41
51.5	1.642137e-39	1.880184e-40
52.5	3.198038e-39	3.296918e-40
53.5	3.731907e-39	4.224612e-40
54.5	2.423068e-39	3.764218e-40
55.5	5.934806e-40	1.617180e-40
56.5	1.568912e-41	5.983818e-42
57.5	2.833044e-45	5.068021e-44
58.5	0.000000e+00	0.000000e+00
59.5	0.000000e+00	0.000000e+00
60.5	9.424132e-41	9.316931e-41
61.5	3.107155e-40	1.590665e-40
62.5	1.480209e-39	3.410988e-40
63.5	1.953866e-39	4.515939e-40
64.5	3.031734e-39	6.927431e-40
65.5	3.989618e-39	7.948758e-40
66.5	1.486738e-39	6.713523e-40
67.5	2.801801e-40	4.066237e-40
68.5	9.398508e-43	4.070751e-41
69.5	0.000000e+00	0.000000e+00
70.5	0.000000e+00	0.000000e+00
71.5	0.000000e+00	0.000000e+00
72.5	1.548246e-40	8.764910e-41
73.5	5.688684e-40	2.283803e-40
74.5	5.315132e-40	3.523228e-40
75.5	1.709764e-39	5.960851e-40
76.5	3.289498e-39	9.556734e-40
77.5	3.854559e-39	1.205368e-39
78.5	3.640036e-39	1.112580e-39
79.5	8.163146e-40	4.505411e-40
80.5	8.459394e-44	2.271870e-41
81.5	0.000000e+00	0.000000e+00
82.5	0.000000e+00	0.000000e+00
83.5	0.000000e+00	0.000000e+00
84.5	7.641794e-41	4.575859e-41
85.5	1.976884e-40	6.961449e-41
86.5	1.052428e-39	1.847656e-40
87.5	2.210778e-39	3.121264e-40
88.5	3.786107e-39	4.941015e-40
89.5	4.582064e-39	5.979416e-40
90.5	2.113177e-39	4.743456e-40
91.5	1.249298e-39	2.688234e-40
92.5	1.914863e-41	2.122555e-41
93.5	0.000000e+00	0.000000e+00
94.5	0.000000e+00	0.000000e+00
95.5	0.000000e+00	0.000000e+00
96.5	2.906345e-41	3.240335e-41
97.5	2.330753e-40	7.502597e-41
98.5	7.147157e-40	1.595006e-40
99.5	1.565125e-39	2.607306e-40
100	3.614841e-39	4.571916e-40
102	4.004465e-39	5.514663e-40
102	3.410570e-39	5.424465e-40
104	1.458803e-39	3.028420e-40
104	8.015803e-41	3.815163e-41
106	0.000000e+00	0.000000e+00
106	0.000000e+00	0.000000e+00
108	0.000000e+00	0.000000e+00
