# Title: 
# X-axis: Xsec.GetBin + material offset
# Y-axis: d#sigma/d#theta_{#mu} (cm^{2}/Degree/nucleon)
# X	Content	Error
0.5	9.745257e-42	1.294478e-42
1.5	4.398613e-41	4.920424e-42
2.5	9.564467e-41	1.003691e-41
3.5	1.439979e-40	1.545815e-41
4.5	2.051341e-40	2.095030e-41
5.5	2.245335e-40	2.491299e-41
6.5	2.424081e-40	2.723634e-41
7.5	2.144591e-40	2.670653e-41
8.5	1.911118e-40	2.461660e-41
9.5	1.534489e-40	2.305321e-41
10.5	1.204191e-40	1.991725e-41
11.5	9.834880e-41	1.686571e-41
12.5	7.505831e-41	1.874963e-41
13.5	4.599560e-41	1.906920e-41
14.5	0.000000e+00	0.000000e+00
15.5	0.000000e+00	0.000000e+00
16.5	1.029293e-41	1.349879e-42
17.5	4.448556e-41	4.988312e-42
18.5	9.816136e-41	1.026708e-41
19.5	1.439413e-40	1.558668e-41
20.5	2.086750e-40	2.111534e-41
21.5	2.282489e-40	2.521852e-41
22.5	2.506084e-40	2.778309e-41
23.5	2.154272e-40	2.667134e-41
24.5	1.905076e-40	2.431802e-41
25.5	1.558491e-40	2.269963e-41
26.5	1.203155e-40	1.965342e-41
27.5	9.834808e-41	1.640170e-41
28.5	7.462127e-41	1.790517e-41
29.5	4.567434e-41	1.844496e-41
30.5	0.000000e+00	0.000000e+00
31.5	0.000000e+00	0.000000e+00
32.5	9.673984e-42	1.301260e-42
33.5	4.473743e-41	5.032398e-42
34.5	9.658167e-41	1.014384e-41
35.5	1.456277e-40	1.564736e-41
36.5	2.068647e-40	2.117736e-41
37.5	2.276048e-40	2.531257e-41
38.5	2.414511e-40	2.743308e-41
39.5	2.179139e-40	2.717253e-41
40.5	1.936947e-40	2.519302e-41
41.5	1.532659e-40	2.348732e-41
42.5	1.212617e-40	2.032875e-41
43.5	1.000458e-40	1.743588e-41
44.5	7.515216e-41	1.942766e-41
45.5	4.611710e-41	1.971796e-41
46.5	0.000000e+00	0.000000e+00
47.5	0.000000e+00	0.000000e+00
48.5	9.054016e-42	1.331031e-42
49.5	4.389296e-41	5.059359e-42
