# Title: 
# X-axis: Xsec.GetBin + material offset
# Y-axis: d#sigma/d#phi_{T} (cm^{2}/Degree/nucleon)
# X	Content	Error
0.5	7.560303e-41	7.108816e-42
1.5	2.895764e-41	3.599953e-42
2.5	1.198923e-41	1.789576e-42
3.5	5.891415e-42	9.491666e-43
4.5	2.855317e-42	4.694702e-43
5.5	1.724410e-42	2.831296e-43
6.5	0.000000e+00	0.000000e+00
7.5	0.000000e+00	0.000000e+00
8.5	7.625493e-41	7.065333e-42
9.5	2.917108e-41	3.588348e-42
10.5	1.222640e-41	1.806859e-42
11.5	5.958414e-42	9.543507e-43
12.5	2.933603e-42	4.691164e-43
13.5	1.715023e-42	2.851209e-43
14.5	0.000000e+00	0.000000e+00
15.5	0.000000e+00	0.000000e+00
16.5	7.639036e-41	7.254013e-42
17.5	2.926718e-41	3.666250e-42
18.5	1.200102e-41	1.802985e-42
19.5	5.970510e-42	9.612613e-43
20.5	2.859356e-42	4.756415e-43
21.5	1.756455e-42	2.867698e-43
22.5	0.000000e+00	0.000000e+00
23.5	0.000000e+00	0.000000e+00
24.5	7.492608e-41	7.288527e-42
25.5	2.874070e-41	3.665076e-42
26.5	1.162249e-41	1.777377e-42
27.5	5.831940e-42	9.532118e-43
28.5	2.754083e-42	4.763601e-43
29.5	1.748945e-42	2.857671e-43
30.5	0.000000e+00	0.000000e+00
31.5	0.000000e+00	0.000000e+00
32.5	7.564104e-41	7.143789e-42
33.5	2.898002e-41	3.615863e-42
34.5	1.193846e-41	1.786253e-42
35.5	5.903901e-42	9.500408e-43
36.5	2.846116e-42	4.694809e-43
37.5	1.729575e-42	2.833731e-43
38.5	0.000000e+00	0.000000e+00
39.5	0.000000e+00	0.000000e+00
40.5	7.129212e-41	1.338878e-41
41.5	2.783191e-41	5.617449e-42
42.5	1.652775e-41	3.713019e-42
43.5	9.185919e-42	2.275555e-42
44.5	3.053208e-42	1.380036e-42
45.5	1.098227e-42	9.773897e-43
46.5	0.000000e+00	0.000000e+00
47.5	0.000000e+00	0.000000e+00
48.5	7.246899e-41	1.718702e-41
49.5	3.195249e-41	7.672755e-42
50.5	1.067339e-41	3.846677e-42
51.5	8.062554e-42	2.539170e-42
52.5	3.934572e-42	1.676347e-42
53.5	2.231066e-42	1.322216e-42
54.5	0.000000e+00	0.000000e+00
55.5	0.000000e+00	0.000000e+00
56.5	7.004687e-41	8.132454e-42
57.5	3.385268e-41	4.513916e-42
58.5	1.648531e-41	2.913789e-42
59.5	8.785751e-42	1.793161e-42
60.5	4.543071e-42	1.253181e-42
61.5	2.361490e-42	2.283738e-42
62.5	0.000000e+00	0.000000e+00
63.5	0.000000e+00	0.000000e+00
64.5	5.179526e-41	8.220650e-42
65.5	3.094251e-41	3.999539e-42
66.5	1.763732e-41	2.447022e-42
67.5	1.145708e-41	1.614611e-42
68.5	7.243109e-42	1.138049e-42
69.5	4.332458e-42	1.640107e-42
70.5	0.000000e+00	0.000000e+00
71.5	0.000000e+00	0.000000e+00
