# Title: 
# X-axis: Xsec.GetBin + material offset
# Y-axis: d#sigma/dp_{L} (cm^{2}/GeV/nucleon)
# X	Content	Error
0.5	4.857739e-42	1.301466e-42
1.5	1.951154e-39	1.608145e-40
2.5	6.489313e-39	5.163573e-40
3.5	4.449995e-39	4.438831e-40
4.5	2.901934e-39	4.686135e-40
5.5	1.533593e-39	4.150377e-40
6.5	1.447651e-40	6.837199e-41
7.5	0.000000e+00	0.000000e+00
8.5	0.000000e+00	0.000000e+00
9.5	0.000000e+00	0.000000e+00
10.5	4.953050e-42	1.338442e-42
11.5	1.979341e-39	1.612211e-40
12.5	6.559033e-39	5.200901e-40
13.5	4.500184e-39	4.464863e-40
14.5	2.941520e-39	4.737249e-40
15.5	1.540893e-39	4.198415e-40
16.5	1.385073e-40	6.834995e-41
17.5	0.000000e+00	0.000000e+00
18.5	0.000000e+00	0.000000e+00
19.5	0.000000e+00	0.000000e+00
20.5	4.915728e-42	1.310376e-42
21.5	1.956561e-39	1.629731e-40
22.5	6.519759e-39	5.211046e-40
23.5	4.495397e-39	4.492434e-40
24.5	2.935906e-39	4.729987e-40
25.5	1.554846e-39	4.183609e-40
26.5	1.533937e-40	6.860967e-41
27.5	0.000000e+00	0.000000e+00
28.5	0.000000e+00	0.000000e+00
29.5	0.000000e+00	0.000000e+00
30.5	4.789628e-42	1.266881e-42
31.5	1.901514e-39	1.633195e-40
32.5	6.377179e-39	5.173752e-40
33.5	4.397183e-39	4.451476e-40
34.5	2.867100e-39	4.651904e-40
35.5	1.530149e-39	4.106995e-40
36.5	1.604873e-40	6.804533e-41
37.5	0.000000e+00	0.000000e+00
38.5	0.000000e+00	0.000000e+00
39.5	0.000000e+00	0.000000e+00
40.5	4.884534e-42	1.304290e-42
41.5	1.941774e-39	1.607675e-40
42.5	6.471582e-39	5.158675e-40
43.5	4.452845e-39	4.439997e-40
44.5	2.909845e-39	4.688173e-40
45.5	1.535239e-39	4.144566e-40
46.5	1.485782e-40	6.782365e-41
47.5	0.000000e+00	0.000000e+00
48.5	0.000000e+00	0.000000e+00
49.5	0.000000e+00	0.000000e+00
50.5	4.414231e-42	1.603493e-42
51.5	2.597496e-39	4.332656e-40
52.5	6.715451e-39	1.138106e-39
53.5	3.882225e-39	8.499013e-40
54.5	2.703789e-39	7.805387e-40
55.5	1.846493e-39	5.789868e-40
56.5	3.803282e-40	1.741494e-40
57.5	0.000000e+00	0.000000e+00
58.5	0.000000e+00	0.000000e+00
59.5	0.000000e+00	0.000000e+00
60.5	7.357801e-42	2.500886e-42
61.5	2.266987e-39	5.120915e-40
62.5	9.228990e-39	1.523494e-39
63.5	4.829951e-39	9.437229e-40
64.5	3.804393e-39	8.229526e-40
65.5	2.072770e-39	6.204782e-40
66.5	2.387756e-40	1.543292e-40
67.5	0.000000e+00	0.000000e+00
68.5	0.000000e+00	0.000000e+00
69.5	1.394834e-44	2.330825e-44
70.5	7.147758e-42	2.557243e-42
71.5	2.242001e-39	2.961972e-40
72.5	7.158440e-39	8.920920e-40
73.5	5.710277e-39	8.141836e-40
74.5	4.689525e-39	6.589390e-40
75.5	2.231351e-39	4.339972e-40
76.5	2.234558e-40	1.146629e-40
77.5	0.000000e+00	0.000000e+00
78.5	0.000000e+00	0.000000e+00
79.5	0.000000e+00	0.000000e+00
80.5	4.918884e-42	2.136670e-42
81.5	2.184416e-39	3.617816e-40
82.5	5.799591e-39	7.568962e-40
83.5	5.449862e-39	7.256463e-40
84.5	3.987940e-39	5.785416e-40
85.5	2.815985e-39	3.843942e-40
86.5	4.291868e-40	9.698063e-41
87.5	0.000000e+00	0.000000e+00
88.5	0.000000e+00	0.000000e+00
89.5	0.000000e+00	0.000000e+00
