# Title: 
# X-axis: Xsec.GetBin + material offset
# Y-axis: d#sigma/dp_{n} (cm^{2}/GeV/nucleon)
# X	Content	Error
0.5	1.468378e-39	1.280634e-40
1.5	5.661702e-39	4.612177e-40
2.5	3.045660e-39	2.940265e-40
3.5	2.298737e-39	2.985536e-40
4.5	1.957275e-39	3.605690e-40
5.5	1.374272e-39	3.090992e-40
6.5	1.002648e-39	2.354887e-40
7.5	5.915126e-40	1.213152e-40
8.5	7.365217e-41	2.357590e-41
9.5	1.304172e-43	3.373329e-43
10.5	0.000000e+00	0.000000e+00
11.5	0.000000e+00	0.000000e+00
12.5	1.510527e-39	1.304721e-40
13.5	5.696802e-39	4.589682e-40
14.5	3.091735e-39	2.953868e-40
15.5	2.335650e-39	3.013777e-40
16.5	1.968462e-39	3.650855e-40
17.5	1.402463e-39	3.127999e-40
18.5	1.017619e-39	2.367466e-40
19.5	5.766713e-40	1.199502e-40
20.5	7.692574e-41	2.346089e-41
21.5	1.743257e-43	4.237540e-43
22.5	0.000000e+00	0.000000e+00
23.5	0.000000e+00	0.000000e+00
24.5	1.465764e-39	1.299029e-40
25.5	5.700007e-39	4.677999e-40
26.5	3.083039e-39	3.002154e-40
27.5	2.301731e-39	3.013183e-40
28.5	1.987276e-39	3.641771e-40
29.5	1.392355e-39	3.102727e-40
30.5	1.011966e-39	2.385876e-40
31.5	6.065358e-40	1.238311e-40
32.5	7.275284e-41	2.360572e-41
33.5	1.573724e-43	4.118279e-43
34.5	0.000000e+00	0.000000e+00
35.5	0.000000e+00	0.000000e+00
36.5	1.405597e-39	1.307125e-40
37.5	5.595120e-39	4.696171e-40
38.5	3.003892e-39	3.004760e-40
39.5	2.241567e-39	2.987861e-40
40.5	1.956375e-39	3.583051e-40
41.5	1.350279e-39	3.046127e-40
42.5	9.830350e-40	2.365512e-40
43.5	6.167308e-40	1.251576e-40
44.5	6.864576e-41	2.375475e-41
45.5	1.438608e-43	5.782097e-43
46.5	0.000000e+00	0.000000e+00
47.5	0.000000e+00	0.000000e+00
48.5	1.461352e-39	1.283299e-40
49.5	5.647389e-39	4.613122e-40
50.5	3.055896e-39	2.960838e-40
51.5	2.288358e-39	2.984652e-40
52.5	1.964672e-39	3.607156e-40
53.5	1.381017e-39	3.076844e-40
54.5	1.001811e-39	2.357659e-40
55.5	5.943590e-40	1.217846e-40
56.5	7.266146e-41	2.331730e-41
57.5	1.594849e-43	3.925871e-43
58.5	0.000000e+00	0.000000e+00
59.5	0.000000e+00	0.000000e+00
60.5	1.303899e-39	3.312213e-40
61.5	5.867945e-39	1.024508e-39
62.5	2.365318e-39	5.413963e-40
63.5	2.377862e-39	6.052380e-40
64.5	3.289712e-39	6.904857e-40
65.5	1.703320e-39	5.657837e-40
66.5	1.168096e-39	4.971425e-40
67.5	4.778275e-40	2.797977e-40
68.5	4.218058e-41	7.902985e-41
69.5	1.276601e-43	3.137216e-42
70.5	0.000000e+00	0.000000e+00
71.5	0.000000e+00	0.000000e+00
72.5	8.460758e-40	4.063707e-40
73.5	5.993628e-39	1.234555e-39
74.5	3.912165e-39	9.862444e-40
75.5	2.181936e-39	8.189274e-40
76.5	2.214126e-39	7.966465e-40
77.5	1.380764e-39	6.352801e-40
78.5	8.660296e-40	6.554270e-40
79.5	8.829915e-40	3.705078e-40
80.5	2.714346e-40	1.320910e-40
81.5	5.469106e-43	5.061352e-42
82.5	0.000000e+00	0.000000e+00
83.5	0.000000e+00	0.000000e+00
84.5	9.498163e-40	2.286856e-40
85.5	4.250577e-39	5.866621e-40
86.5	4.601162e-39	5.789061e-40
87.5	2.983438e-39	4.140507e-40
88.5	2.853952e-39	4.298338e-40
89.5	1.409597e-39	4.423973e-40
90.5	1.147413e-39	4.797770e-40
91.5	1.167747e-39	3.854153e-40
92.5	2.309512e-40	1.008502e-40
93.5	7.403929e-43	1.980140e-42
94.5	0.000000e+00	0.000000e+00
95.5	0.000000e+00	0.000000e+00
96.5	8.562992e-40	2.169449e-40
97.5	2.708029e-39	4.128435e-40
98.5	2.925891e-39	4.816474e-40
99.5	2.420078e-39	3.976519e-40
100	3.197218e-39	4.130734e-40
102	2.032017e-39	3.898832e-40
102	1.454789e-39	3.773293e-40
104	1.368351e-39	2.786871e-40
104	4.699323e-40	1.126050e-40
106	9.661455e-43	1.905054e-42
106	0.000000e+00	0.000000e+00
108	0.000000e+00	0.000000e+00
