# Title: 
# X-axis: Xsec.GetBin + material offset
# Y-axis: d#sigma/dp_{P} (cm^{2}/GeV/nucleon)
# X	Content	Error
0.5	4.566870e-39	3.887841e-40
1.5	3.963375e-39	3.756105e-40
2.5	3.069049e-39	4.507875e-40
3.5	2.402408e-39	4.474223e-40
4.5	1.793621e-39	4.670595e-40
5.5	0.000000e+00	0.000000e+00
6.5	0.000000e+00	0.000000e+00
7.5	4.633504e-39	3.916404e-40
8.5	4.045760e-39	3.769589e-40
9.5	3.052384e-39	4.504738e-40
10.5	2.422753e-39	4.489247e-40
11.5	1.829929e-39	4.679317e-40
12.5	0.000000e+00	0.000000e+00
13.5	0.000000e+00	0.000000e+00
14.5	4.596337e-39	3.928570e-40
15.5	3.983942e-39	3.818612e-40
16.5	3.122169e-39	4.577254e-40
17.5	2.413267e-39	4.536358e-40
18.5	1.837720e-39	4.742758e-40
19.5	0.000000e+00	0.000000e+00
20.5	0.000000e+00	0.000000e+00
21.5	4.481940e-39	3.899761e-40
22.5	3.858206e-39	3.802175e-40
23.5	3.104771e-39	4.569716e-40
24.5	2.366150e-39	4.525992e-40
25.5	1.786812e-39	4.763287e-40
26.5	0.000000e+00	0.000000e+00
27.5	0.000000e+00	0.000000e+00
28.5	4.563410e-39	3.886928e-40
29.5	3.959442e-39	3.771153e-40
30.5	3.076103e-39	4.515638e-40
31.5	2.392342e-39	4.479925e-40
32.5	1.818659e-39	4.677801e-40
33.5	0.000000e+00	0.000000e+00
34.5	0.000000e+00	0.000000e+00
35.5	5.100626e-39	1.871620e-39
36.5	3.955587e-39	6.850848e-40
37.5	3.876212e-39	6.715811e-40
38.5	2.508155e-39	9.470359e-40
39.5	4.447485e-40	6.849529e-40
40.5	0.000000e+00	0.000000e+00
41.5	0.000000e+00	0.000000e+00
42.5	4.951894e-39	2.599726e-39
43.5	4.030046e-39	9.115202e-40
44.5	3.143542e-39	9.911349e-40
45.5	3.217287e-39	1.669015e-39
46.5	2.599980e-39	1.533451e-39
47.5	0.000000e+00	0.000000e+00
48.5	0.000000e+00	0.000000e+00
49.5	8.256297e-39	1.318455e-39
50.5	5.388572e-39	6.572391e-40
51.5	3.380344e-39	4.952531e-40
52.5	2.126231e-39	5.046846e-40
53.5	1.224702e-39	6.423267e-40
54.5	0.000000e+00	0.000000e+00
55.5	0.000000e+00	0.000000e+00
56.5	6.918190e-39	1.733582e-39
57.5	3.686115e-39	4.667595e-40
58.5	3.666726e-39	4.734637e-40
59.5	3.258126e-39	5.118807e-40
60.5	3.439498e-39	9.220149e-40
61.5	0.000000e+00	0.000000e+00
62.5	0.000000e+00	0.000000e+00
