# Title: 
# X-axis: Xsec.GetBin + material offset
# Y-axis: d#sigma/dp_{P} (cm^{2}/GeV/nucleon)
# X	Content	Error
0.5	3.363507e-40	5.632079e-41
1.5	1.036020e-39	1.827359e-40
2.5	2.099958e-39	3.296405e-40
3.5	4.139075e-39	4.138101e-40
4.5	3.354101e-39	3.105827e-40
5.5	1.942371e-39	2.175483e-40
6.5	3.206895e-40	4.522343e-41
7.5	0.000000e+00	0.000000e+00
8.5	0.000000e+00	0.000000e+00
9.5	3.315741e-40	5.562808e-41
10.5	1.063193e-39	1.847431e-40
11.5	2.102989e-39	3.282681e-40
12.5	4.172515e-39	4.171358e-40
13.5	3.403720e-39	3.123269e-40
14.5	1.986508e-39	2.183917e-40
15.5	3.222068e-40	4.556905e-41
16.5	0.000000e+00	0.000000e+00
17.5	0.000000e+00	0.000000e+00
18.5	3.414526e-40	5.729166e-41
19.5	1.039880e-39	1.844942e-40
20.5	2.140730e-39	3.353687e-40
21.5	4.173444e-39	4.178418e-40
22.5	3.369075e-39	3.144867e-40
23.5	1.947086e-39	2.211109e-40
24.5	3.256275e-40	4.585179e-41
25.5	0.000000e+00	0.000000e+00
26.5	0.000000e+00	0.000000e+00
27.5	3.432454e-40	5.876018e-41
28.5	9.995202e-40	1.818619e-40
29.5	2.118365e-39	3.352914e-40
30.5	4.099470e-39	4.133247e-40
31.5	3.274911e-39	3.132796e-40
32.5	1.877341e-39	2.221584e-40
33.5	3.211006e-40	4.646078e-41
34.5	0.000000e+00	0.000000e+00
35.5	0.000000e+00	0.000000e+00
36.5	3.357057e-40	5.633118e-41
37.5	1.033950e-39	1.827586e-40
38.5	2.112655e-39	3.307485e-40
39.5	4.136808e-39	4.134486e-40
40.5	3.343084e-39	3.106963e-40
41.5	1.936031e-39	2.177557e-40
42.5	3.216859e-40	4.522438e-41
43.5	0.000000e+00	0.000000e+00
44.5	0.000000e+00	0.000000e+00
45.5	8.534866e-40	1.421220e-39
46.5	1.448913e-39	5.197799e-40
47.5	2.247396e-39	6.357879e-40
48.5	3.298269e-39	8.194470e-40
49.5	3.815602e-39	6.449049e-40
50.5	2.727581e-39	5.386757e-40
51.5	3.990597e-40	1.357422e-40
52.5	0.000000e+00	0.000000e+00
53.5	0.000000e+00	0.000000e+00
54.5	5.260813e-40	9.568770e-40
55.5	9.320535e-40	5.618863e-40
56.5	1.387509e-39	6.773598e-40
57.5	4.137965e-39	9.343712e-40
58.5	4.320998e-39	1.026555e-39
59.5	3.165259e-39	9.882655e-40
60.5	4.236145e-40	1.978412e-40
61.5	0.000000e+00	0.000000e+00
62.5	0.000000e+00	0.000000e+00
63.5	6.204489e-40	5.785974e-40
64.5	1.638523e-39	4.406516e-40
65.5	3.409469e-39	5.821440e-40
66.5	5.094356e-39	7.215605e-40
67.5	3.172559e-39	4.155884e-40
68.5	2.050124e-39	3.276513e-40
69.5	3.845601e-40	8.871097e-41
70.5	0.000000e+00	0.000000e+00
71.5	0.000000e+00	0.000000e+00
72.5	1.956855e-39	1.106745e-39
73.5	2.542026e-39	4.690052e-40
74.5	3.194088e-39	5.423637e-40
75.5	4.345677e-39	6.478130e-40
76.5	2.937261e-39	3.959677e-40
77.5	2.007987e-39	3.150509e-40
78.5	4.138024e-40	1.146102e-40
79.5	0.000000e+00	0.000000e+00
80.5	0.000000e+00	0.000000e+00
