# Title: 
# X-axis: Xsec.GetBin + material offset
# Y-axis: d#sigma/d#theta_{P} (cm^{2}/Degree/nucleon)
# X	Content	Error
0.5	2.763893e-42	6.393548e-43
1.5	7.077129e-42	1.715271e-42
2.5	1.035301e-41	2.613541e-42
3.5	1.503614e-41	3.485762e-42
4.5	1.773448e-41	4.072965e-42
5.5	2.163208e-41	3.932744e-42
6.5	2.942501e-41	3.879768e-42
7.5	4.552018e-41	4.441547e-42
8.5	6.372501e-41	5.141617e-42
9.5	6.892083e-41	5.379823e-42
10.5	0.000000e+00	0.000000e+00
11.5	0.000000e+00	0.000000e+00
12.5	2.730719e-42	6.409748e-43
13.5	7.129182e-42	1.719886e-42
14.5	1.055560e-41	2.612220e-42
15.5	1.480040e-41	3.500269e-42
16.5	1.805079e-41	4.087132e-42
17.5	2.158349e-41	4.023228e-42
18.5	2.996562e-41	3.931466e-42
19.5	4.567812e-41	4.455712e-42
20.5	6.492545e-41	5.213687e-42
21.5	6.987805e-41	5.445885e-42
22.5	0.000000e+00	0.000000e+00
23.5	0.000000e+00	0.000000e+00
24.5	2.808587e-42	6.450345e-43
25.5	7.206749e-42	1.735108e-42
26.5	1.044262e-41	2.643124e-42
27.5	1.527749e-41	3.533034e-42
28.5	1.803949e-41	4.115880e-42
29.5	2.205226e-41	3.940490e-42
30.5	2.963344e-41	3.917947e-42
31.5	4.614122e-41	4.511751e-42
32.5	6.394643e-41	5.183846e-42
33.5	6.894134e-41	5.396136e-42
34.5	0.000000e+00	0.000000e+00
35.5	0.000000e+00	0.000000e+00
36.5	2.830306e-42	6.510106e-43
37.5	7.086972e-42	1.729174e-42
38.5	1.009337e-41	2.629698e-42
39.5	1.535559e-41	3.505982e-42
40.5	1.752897e-41	4.079006e-42
41.5	2.190394e-41	3.836961e-42
42.5	2.882239e-41	3.861129e-42
43.5	4.553226e-41	4.511267e-42
44.5	6.199963e-41	5.120343e-42
45.5	6.705635e-41	5.326432e-42
46.5	0.000000e+00	0.000000e+00
47.5	0.000000e+00	0.000000e+00
48.5	2.761749e-42	6.370728e-43
49.5	7.117709e-42	1.713995e-42
50.5	1.033334e-41	2.608341e-42
51.5	1.503789e-41	3.493812e-42
52.5	1.783831e-41	4.070431e-42
53.5	2.176236e-41	3.918314e-42
54.5	2.946249e-41	3.879911e-42
55.5	4.560396e-41	4.453658e-42
56.5	6.357089e-41	5.136171e-42
57.5	6.848859e-41	5.350050e-42
58.5	0.000000e+00	0.000000e+00
59.5	0.000000e+00	0.000000e+00
60.5	4.454276e-42	1.124462e-41
61.5	1.532065e-41	1.075595e-41
62.5	2.140885e-41	6.915740e-42
63.5	1.539442e-41	6.088375e-42
64.5	1.501346e-41	6.742568e-42
65.5	1.856083e-41	6.661159e-42
66.5	2.716606e-41	7.197537e-42
67.5	4.099344e-41	9.734237e-42
68.5	6.908497e-41	1.229581e-41
69.5	8.412662e-41	1.398531e-41
70.5	0.000000e+00	0.000000e+00
71.5	0.000000e+00	0.000000e+00
72.5	9.829039e-42	8.422984e-42
73.5	7.155944e-42	6.407745e-42
74.5	1.388188e-41	7.527884e-42
75.5	2.325973e-41	6.550666e-42
76.5	1.404772e-41	6.165655e-42
77.5	1.965416e-41	7.596957e-42
78.5	2.905589e-41	9.798055e-42
79.5	5.464432e-41	1.186154e-41
80.5	8.190477e-41	1.819462e-41
81.5	8.509612e-41	1.726348e-41
82.5	0.000000e+00	0.000000e+00
83.5	0.000000e+00	0.000000e+00
84.5	7.209785e-42	7.791261e-42
85.5	9.103267e-42	6.278073e-42
86.5	1.453891e-41	5.271240e-42
87.5	1.867417e-41	4.993128e-42
88.5	3.074722e-41	5.612209e-42
89.5	3.549666e-41	5.600333e-42
90.5	4.433607e-41	6.511436e-42
91.5	5.319546e-41	7.675132e-42
92.5	6.779419e-41	8.955155e-42
93.5	7.086926e-41	9.077418e-42
94.5	0.000000e+00	0.000000e+00
95.5	0.000000e+00	0.000000e+00
96.5	1.474834e-41	8.653433e-42
97.5	2.428984e-41	7.953837e-42
98.5	3.185891e-41	5.310337e-42
99.5	3.165453e-41	5.375981e-42
100	2.823289e-41	5.468411e-42
102	2.957025e-41	4.942787e-42
102	3.800524e-41	5.507026e-42
104	4.870222e-41	7.238374e-42
104	5.358055e-41	7.543624e-42
106	5.543383e-41	8.598924e-42
106	0.000000e+00	0.000000e+00
108	0.000000e+00	0.000000e+00
