# X-axis: Muon Theta (Degrees)
# Y-axis: d#sigma/d#theta_{#mu} (cm^{2}/Degree/nucleon)
# X	Content	Error
0.5	1.279953e-41	6.227215e-42
1.5	4.784632e-41	1.590497e-41
2.5	1.189404e-40	2.974860e-41
3.5	2.181565e-40	4.496457e-41
4.5	2.566996e-40	5.281719e-41
5.5	2.178003e-40	4.856831e-41
6.5	2.081788e-40	5.474991e-41
7.5	2.210977e-40	5.837272e-41
8.5	1.880859e-40	5.490692e-41
9.5	8.938573e-41	4.658135e-41
10.5	1.261427e-40	5.165977e-41
11.5	6.861780e-41	4.855930e-41
13	1.642354e-40	6.462386e-41
15.5	2.068580e-41	4.415536e-41
