# X-axis: Muon Theta (Degrees)
# Y-axis: d#sigma/d#theta_{#mu} (cm^{2}/Degree/nucleon)
# X	Content	Error
0.5	9.745257e-42	1.294478e-42
1.5	4.398613e-41	4.920424e-42
2.5	9.564467e-41	1.003691e-41
3.5	1.439979e-40	1.545815e-41
4.5	2.051341e-40	2.095030e-41
5.5	2.245335e-40	2.491299e-41
6.5	2.424081e-40	2.723634e-41
7.5	2.144591e-40	2.670653e-41
8.5	1.911118e-40	2.461660e-41
9.5	1.534489e-40	2.305321e-41
10.5	1.204191e-40	1.991725e-41
11.5	9.834880e-41	1.686571e-41
13	7.505831e-41	1.874963e-41
15.5	4.599560e-41	1.906920e-41
