# X-axis: Muon Theta (Degrees)
# Y-axis: d#sigma/d#theta_{#mu} (cm^{2}/Degree/nucleon)
# X	Content	Error
0.5	1.029293e-41	1.349879e-42
1.5	4.448556e-41	4.988312e-42
2.5	9.816136e-41	1.026708e-41
3.5	1.439413e-40	1.558668e-41
4.5	2.086750e-40	2.111534e-41
5.5	2.282489e-40	2.521852e-41
6.5	2.506084e-40	2.778309e-41
7.5	2.154272e-40	2.667134e-41
8.5	1.905076e-40	2.431802e-41
9.5	1.558491e-40	2.269963e-41
10.5	1.203155e-40	1.965342e-41
11.5	9.834808e-41	1.640170e-41
13	7.462127e-41	1.790517e-41
15.5	4.567434e-41	1.844496e-41
