# X-axis: Muon Theta (Degrees)
# Y-axis: d#sigma/d#theta_{#mu} (cm^{2}/Degree/nucleon)
# X	Content	Error
0.5	9.054016e-42	1.331031e-42
1.5	4.389296e-41	5.059359e-42
2.5	9.335497e-41	1.001242e-41
3.5	1.443033e-40	1.556786e-41
4.5	2.015966e-40	2.106593e-41
5.5	2.216751e-40	2.505009e-41
6.5	2.296827e-40	2.681061e-41
7.5	2.150711e-40	2.726797e-41
8.5	1.924349e-40	2.561869e-41
9.5	1.486912e-40	2.398852e-41
10.5	1.199722e-40	2.064796e-41
11.5	9.861237e-41	1.813262e-41
13	7.437848e-41	2.034297e-41
15.5	4.572647e-41	2.031225e-41
