# X-axis: Muon Theta (Degrees)
# Y-axis: d#sigma/d#theta_{#mu} (cm^{2}/Degree/nucleon)
# X	Content	Error
0.5	9.682726e-42	1.288300e-42
1.5	4.429878e-41	4.962061e-42
2.5	9.606064e-41	1.005182e-41
3.5	1.438764e-40	1.546739e-41
4.5	2.053502e-40	2.095214e-41
5.5	2.254976e-40	2.503934e-41
6.5	2.407319e-40	2.720830e-41
7.5	2.155515e-40	2.679845e-41
8.5	1.911521e-40	2.475829e-41
9.5	1.523624e-40	2.309857e-41
10.5	1.201068e-40	1.996782e-41
11.5	9.850382e-41	1.703989e-41
13	7.425953e-41	1.893390e-41
15.5	4.565788e-41	1.928545e-41
