# X-axis: Muon Theta (Degrees)
# Y-axis: d#sigma/d#theta_{#mu} (cm^{2}/Degree/nucleon)
# X	Content	Error
0.5	9.673984e-42	1.301260e-42
1.5	4.473743e-41	5.032398e-42
2.5	9.658167e-41	1.014384e-41
3.5	1.456277e-40	1.564736e-41
4.5	2.068647e-40	2.117736e-41
5.5	2.276048e-40	2.531257e-41
6.5	2.414511e-40	2.743308e-41
7.5	2.179139e-40	2.717253e-41
8.5	1.936947e-40	2.519302e-41
9.5	1.532659e-40	2.348732e-41
10.5	1.212617e-40	2.032875e-41
11.5	1.000458e-40	1.743588e-41
13	7.515216e-41	1.942766e-41
15.5	4.611710e-41	1.971796e-41
