# X-axis: Muon Theta (Degrees)
# Y-axis: d#sigma/d#theta_{#mu} (cm^{2}/Degree/nucleon)
# X	Content	Error
0.5	9.713495e-42	3.269128e-42
1.5	4.829691e-41	8.595045e-42
2.5	1.134505e-40	1.703293e-41
3.5	1.921906e-40	2.593086e-41
4.5	2.248044e-40	3.104039e-41
5.5	2.628647e-40	3.662964e-41
6.5	2.744880e-40	3.877103e-41
7.5	2.496586e-40	3.580181e-41
8.5	2.492818e-40	4.704561e-41
9.5	1.625079e-40	4.228337e-41
10.5	1.664489e-40	4.026614e-41
11.5	1.297188e-40	4.972282e-41
13	1.038440e-40	5.640893e-41
15.5	1.820160e-40	5.821808e-41
