# X-axis: Muon Theta (Degrees)
# Y-axis: d#sigma/d#theta_{#mu} (cm^{2}/Degree/nucleon)
# X	Content	Error
0.5	3.987493e-42	2.261374e-42
1.5	4.634211e-41	8.829855e-42
2.5	1.161312e-40	1.750532e-41
3.5	1.316719e-40	2.052134e-41
4.5	1.890545e-40	2.741807e-41
5.5	2.637948e-40	3.868630e-41
6.5	2.356204e-40	3.322510e-41
7.5	3.039311e-40	4.101353e-41
8.5	2.621109e-40	3.912297e-41
9.5	2.690092e-40	4.634660e-41
10.5	1.761934e-40	3.437740e-41
11.5	1.166266e-40	3.735790e-41
13	1.549063e-40	4.817455e-41
15.5	1.705131e-40	5.297566e-41
